title,game_id,name_jp,name_kana,name_ro,name_tcn,name_scn,name_hkjc,name_kr,epithet,image_main,image_race,image_proto,image_stage,nicknames,birthday,class,dorm,roommate,height,threesizes,shoesize,weight,calls_self,calls_trainer,seiyuu,icon,color_main,color_sub,irl_page,emoji,partydash_page,1,media
Kitasan_Black,1068,キタサンブラック,,Kitasan Burakku,北部玄駒,,,,Festival Girl,Kitasan Black (Main).png,Kitasan Black (Race).png,Kitasan Black (Proto).png,Kitasan Black (Stage).png,Kitasan,2012-03-10,Middle School,Ritto,Satono Diamond,162,B85 W56 H88,23cm,Growing up big and strong!,あたし (Atashi),トレーナーさん (Trainer-san),[[Hinaki Yano]],Kitasan Black (Icon).png,5a6065,fc6d31,IRL:Kitasan Black,🏮,Party Dash:Kitasan Black,,
Loves_Only_You,1132,ラヴズオンリーユー,,Ravuzu Onrii Yuu,唯獨愛你,,,,,Loves Only You (Main).png,Loves Only You (Race).png,Loves Only You (Proto).png,,ラヴズ (Loves),2021-03-26,,,Chrono Genesis,158,B88 W58 H88,,Members Only,,"トレーナーくん (Trainer-kun, male trainer) / トレーナーちゃん (Trainer-chan, female trainer)",[[Miyu Kubota]],Loves Only You (Icon).png,424840,268745,IRL:Loves Only You,❤️,,,
Lucky_Lilac,1130,ラッキーライラック,,Rakkii Rairakku,旺紫丁,,,,,Lucky Lilac (Main).png,Lucky Lilac (Race).png,,,ララ (Lala),2021-04-03,,,,162,B88 W57 H85,,,,,[[Yuki Nakashima]],Lucky Lilac (Icon).png,454152,907594,IRL:Lucky Lilac,,,,
Manhattan_Cafe,1025,マンハッタンカフェ,,Manhattan Kafe,曼哈頓咖啡,,"曼城茶座 <!-- No record in HKJC, please fact check it -->",맨하탄 카페,Jet-Black Phantom,Manhattan Cafe (Main).png,Manhattan Cafe (Race).png,Manhattan Cafe (Proto).png,Manhattan Cafe (Stage).png,カフェ (Cafe),1998-03-05,High School,Miho,Yukino Bijin,155,B73 W54 H78,22cm,No change,私 (Watashi),トレーナーさん (Trainer-san),[[Yui Ogura]],Manhattan Cafe (Icon).png,494541,E8DD4C,IRL:Manhattan Cafe,☕,Party Dash:Manhattan Cafe,,
Maruzensky,1004,マルゼンスキー,,Maruzensukii,丸善斯基,,,마루젠스키,Supercar,Maruzensky (Main).png,Maruzensky (Race).png,Maruzensky (Proto).png,Maruzensky (Stage).png,マルゼン (Maruzen)<br>怪物 (Monster),1974-05-19,High School,Lives alone,,164,B92 W58 H88,26cm,Optimal form,"あたし、お姉さん (Atashi, Onee-san)","トレーナー君、トレーナーちゃん (Trainer-kun, Trainer-chan)",[[Lynn]],Maruzensky (Icon).png,EA504A,FFCD00,IRL:Maruzensky,,,,
Marvelous_Sunday,1055,マーベラスサンデー,,Maaberasu Sandee,美麗周日,,,,Marvelous Evangelist,Marvelous Sunday (Main).png,Marvelous Sunday (Race).png,Marvelous Sunday (Proto).png,Marvelous Sunday (Stage).png,マーベラス (Marvelous)<br>マベ (Marve),1992-05-31,Middle School,Ritto,Nice Nature,145,B87 W52 H77,22cm,Marvelous!,アタシ (Atashi),"アナタ、トレーナー (Anata, Trainer)",[[Marie Miyake]],Marvelous Sunday (Icon).png,CA46B0,B52542,IRL:Marvelous Sunday,,Party Dash:Marvelous Sunday,,
Matikanefukukitaru,1056,マチカネフクキタル,,Machikanefukukitaru,待兼福來,,,,Fortune Comes to Those who Smile,Matikanefukukitaru (Main).png,Matikanefukukitaru (Race).png,Matikanefukukitaru (Proto).png,Matikanefukukitaru (Stage).png,フクキタル (Fukukitaru)<br>フク (Fuku),1994-05-22,High School,Ritto,Matikanetannhauser,158,B84 W59 H83,23.5cm,Slight decrease because today is an unlucky day,"私、フクちゃん、フク、このフク (Watashi, Fuku-chan, Fuku, Kono-Fuku)",トレーナーさん (Trainer-san),[[Hiyori Nitta]],Matikanefukukitaru (Icon).png,3D89E9,F8A717,IRL:Matikanefukukitaru,🔮,Party Dash:Matikanefukukitaru,,
Matikanetannhauser,1062,マチカネタンホイザ,,Machikanetanhoiza,待兼唐懷瑟,待兼诗歌剧/待兼唐怀瑟,詩歌劇,마치카네 탄호이저,Late Bloomer,Matikanetannhauser (Main).png,Matikanetannhauser (Race).png,Matikanetannhauser (Proto).png,Matikanetannhauser (Stage).png,タンホイザ (Tannhauser)<br>マチタン (Machitan)<br>おマチ (Omachi),1989-05-07,Middle School,Ritto,Matikanefukukitaru,155,B80 W55 H80,"L24.5cm, R25.5cm",Slight increase (Ate too much),私 (Watashi),トレーナー (Trainer),[[Hikaru Tono]],Matikanetannhauser (Icon).png,0f8dce,ee5b56,IRL:Matikanetannhauser,🎀,,,
Mayano_Top_Gun,1024,マヤノトップガン,,Mayano Toppu Gan,摩耶重砲,重炮,重砲,,Shapeshifter,Mayano Top Gun (Main).png,Mayano Top Gun (Race).png,Mayano Top Gun (Proto).png,Mayano Top Gun (Stage).png,マヤノ (Mayano)<br>マヤ (Maya),1996-03-24,Middle School,Ritto,Tokai Teio,143,B75 W51 H73,20.5cm,No change,"マヤ、アタシ (Maya, Atashi)","キミ、トレーナーちゃん (Kimi, Trainer-chan)",[[Mio Hoshitani]],Mayano Top Gun (Icon).png,F57D38,FFC845,IRL:Mayano Top Gun,,Party Dash:Mayano Top Gun,,
Meisho_Doto,1058,メイショウドトウ,,Meishou Dotou,名將怒濤,,,,A Determined Challenger,Meisho Doto (Main).png,Meisho Doto (Race).png,Meisho Doto (Proto).png,Meisho Doto (Stage).png,ドトウ (Doto)<br>ドトぴ (Dotopi (Daitaku Helios)),1996-03-25,Middle School,Ritto,Air Shakur,164,B99 W61 H89,25cm,Growing in a specific region,私 (Watashi),"貴方,トレーナーさん (Trainer-san )",[[Misaki Watada]],Meisho Doto (Icon).png,46449B,D64388,IRL:Meisho Doto,🐐,,,
Mejiro_Ardan,1071,メジロアルダン,,Mejiro Arudan,目白阿爾丹,目白雅丹,,,,Mejiro Ardan (Main).png,Mejiro Ardan (Race).png,Mejiro Ardan (Proto).png,Mejiro Ardan (Stage).png,アルダン (Ardan),1985-03-28,High School,Miho,Sakura Chiyono O,162,B87 W56 H85,22.5cm,Secret ♪,私 (Watashi),トレーナーさん (Trainer-san),[[Saya Aizawa]],Mejiro Ardan (Icon).png,28baa5,bfe4eb,IRL:Mejiro Ardan,,,,
Mejiro_Bright,1074,メジロブライト,,Mejiro Buraito,目白光明,,,,The Carefree Stayer,Mejiro Bright (Main).png,Mejiro Bright (Race).png,Mejiro Bright (Proto).png,Mejiro Bright (Stage).png,ブライト (Bright),1994-04-19,High School,Ritto,Tsurumaru Tsuyoshi,157,B84 W59 H81,23cm,"Slight increase (Well, I did overeat~)",わたくし (Watakushi),トレーナーさま (Trainer-sama),[[Ayaka Onishi]],Mejiro Bright (Icon).png,45C5C1,9F5F54,IRL:Mejiro Bright,,Party Dash:Mejiro Bright,,
Mejiro_Dober,1059,メジロドーベル,,Mejiro Dooberu,目白多伯,,,,Cool Beauty,Mejiro Dober (Main).png,Mejiro Dober (Race).png,Mejiro Dober (Proto).png,Mejiro Dober (Stage).png,ドーベル (Dober)<br>ベル (Ber),1994-05-06,High School,Miho,Taiki Shuttle,157,B83 W57 H81,22cm,No change,アタシ (Atashi),"アンタ、トレーナー (Anta, Trainer)",[[Hikari Kubota]],Mejiro Dober (Icon).png,19B49E,6F3B42,IRL:Mejiro Dober,,Party Dash:Mejiro Dober,,
Mejiro_McQueen,1013,メジロマックイーン,,Mejiro Makkuiin,目白麥昆,,,,Famous Actress,Mejiro McQueen (Main).png,Mejiro McQueen (Race).png,Mejiro McQueen (Proto).png,Mejiro McQueen (Stage).png,マックイーン (McQueen)<br>マック (Mac),1987-04-03,Middle School,Ritto,Ikuno Dictus,159,B71 W54 H76,22.5cm,Slight increase (making frantic adjustments!),私（わたくし） (Watakushi),トレーナーさん (Trainer-san),[[Saori Onishi]],Mejiro McQueen (Icon).png,00B5BE,DFC8E7,IRL:Mejiro McQueen,🍰,Party Dash:Mejiro McQueen,,
Mejiro_Palmer,1064,メジロパーマー,,Mejiro Paamaa,目白善信,,,,The Getaway Umamusume in Turmoil,Mejiro Palmer (Main).png,Mejiro Palmer (Race).png,Mejiro Palmer (Proto).png,Mejiro Palmer (Stage).png,パーマー (Palmer),1987-03-21,High School,Ritto,Katsuragi Ace,160,B84 W57 H86,24cm,Slight decrease,"私、パーマーさん (Watashi, Palmer)",トレーナー (Trainer),[[Yuri Noguchi]],Mejiro Palmer (Icon).png,27c79c,865432,IRL:Mejiro Palmer,⛳️,,,
Mejiro_Ramonu,1086,メジロラモーヌ,,Mejiro Ramoonu,目白拉茉奴,目白高峰,,,Enchanting Beauty,Mejiro Ramonu (Main).png,Mejiro Ramonu (Race).png,Mejiro Ramonu (Proto).png,Mejiro Ramonu (Stage).png,ラモーヌ (Ramonu),1983-04-09,High School,Miho,Symboli Kris S,165,B87 W57 H90,24cm,Ideal enough to be envious of,私 (Watashi),貴方 (Anata),[[Nao Toyama]],Mejiro Ramonu (Icon).png,4bb6af,3c5161,IRL:Mejiro Ramonu,,,,
Mejiro_Ryan,1027,メジロライアン,,mejiro raian,目白賴恩 / 目白雷恩,,,,A Lovely and Influential Person,Mejiro Ryan (Main).png,Mejiro Ryan (Race).png,Mejiro Ryan (Proto).png,Mejiro Ryan (Stage).png,ライアン (Ryan),1987-04-11,High School,Miho,Ines Fujin,163,B87 W57 H86,24.5cm,Slight increase (the weightlifting's working!),あたし (Atashi),トレーナーさん (Trainer-san),[[wikipedia:ja:土師亜文|土師亜文]] (Afumi Hashi),Mejiro Ryan (Icon).png,14BAAE,7C4D3A,IRL:Mejiro Ryan,,,,
Mihono_Bourbon,1026,ミホノブルボン,,Mihono Burubon,美浦波旁,,,,Child of the Slope,Mihono Bourbon (Main).png,Mihono Bourbon (Race).png,Mihono Bourbon (Proto).png,Mihono Bourbon (Stage).png,ブルボン (Bourbon),1989-04-25,High School,Ritto,Nishino Flower,160,B86 W54 H87,24cm,No change,私 (Watashi),マスター (Master),[[Ikumi Hasegawa]],Mihono Bourbon (Icon).png,EE60A1,F0ED41,IRL:Mihono Bourbon,,,,
Mr._C.B.,1057,ミスターシービー,,Misutaa Shii Bii,千明代表,,,,Director of Turf,Mr. C.B. (Main).png,Mr. C.B. (Race).png,Mr. C.B. (Proto).png,Mr. C.B. (Stage).png,シービー (C.B.),1980-04-07,High School,Ritto,,166,B84 W55 H80,25cm,No change,アタシ (Atashi),キミ (Kimi),[[Yurina Amami]],Mr. C.B. (Icon).png,6FC346,FBE122,IRL:Mr. C.B.,,Party Dash:Mr. C.B.,,
Nakayama_Festa,1049,ナカヤマフェスタ,,nakayama fesuta,中山慶典,,,,A Natural Gambler,Nakayama Festa (Main).png,Nakayama Festa (Race).png,Nakayama Festa (Proto).png,Nakayama Festa (Stage).png,ナカヤマ (Nakayama),2006-04-05,High School,Miho,Sirius Symboli,159,B78 W54 H79,24cm,Doesn't hinder racing,私 (Watashi),アンタ (Anta),[[Shino Shimoji]],Nakayama Festa (Icon).png,C0453F,236192,IRL:Nakayama Festa,🀄️,,,
Narita_Brian,1016,ナリタブライアン,,Narita Buraian,成田白仁,,,,A Monster that Fears no Shadow,Narita Brian (Main).png,Narita Brian (Race).png,Narita Brian (Proto).png,Narita Brian (Stage).png,ブライアン (Brian),1991-05-03,High School,Ritto,Tanino Gimlet,160,B91 W58 H85,24.5cm,No impediment to racing,私 (Watashi),"アンタ、トレーナー (Anta, Trainer)",[[Rika Kinugawa]],Narita Brian (Icon).png,75358C,D638A3,IRL:Narita Brian,🌱,Party Dash:Narita Brian,,
Narita_Taishin,1050,ナリタタイシン,,Narita Taishin,成田大進,,,,Reversal Umamusume,Narita Taishin (Main).png,Narita Taishin (Race).png,Narita Taishin (Proto).png,Narita Taishin (Stage).png,タイシン (Taishin),1990-06-10,High School,Ritto,Super Creek,145,B69 W50 H73,20.5cm,Refused measurement,アタシ (Atashi),アンタ (Anta),[[Keiko Watanabe]],Narita Taishin (Icon).png,E575CE,F3DD6D,IRL:Narita Taishin,,,,
Narita_Top_Road,1077,ナリタトップロード,,,成田路,,,,Lovely Stayer,Narita Top Road (Main).png,Narita Top Road (Race).png,Narita Top Road (Proto).png,Narita Top Road (Stage).png,トップロード (Top Road)<br>委員長 (President),1996-04-04,High School,Ritto,Jungle Pocket,166,B86 W56 H83,"L26.5cm, R26cm",Ideal,私 (Watashi),トレーナーさん (Trainer-san),[[Kanna Nakamura]],Narita Top Road (Icon).png,ea5bc0,8f3d7d,IRL:Narita Top Road,⚽️,,,
Neo_Universe,1105,ネオユニヴァース,,Neo Yunivaasu,新宇宙,,,,Cosmic-Verse,Neo Universe (Main).png,Neo Universe (Race).png,Neo Universe (Proto).png,Neo Universe (Stage).png,ユニヴァース (Universe)<br>ユニ (Yuni),2000-05-21,High School,Ritto,Still in Love,160,B79 W52 H77,23.5cm,Universal secret,"ネオユニヴァース、私 (Neo Universe, Watashi)",トレーナー (Trainer),[[Haruka Shiraishi]],Neo Universe (Icon).png,5abae6,f8db55,IRL:Neo Universe,,,,
Nice_Nature,1060,ナイスネイチャ,,Naisu Neicha,優秀素質,,好品性,,The Loveable Supporting Character,Nice Nature (Main).png,Nice Nature (Race).png,Nice Nature (Proto).png,Nice Nature (Stage).png,ネイチャ (Nature),1988-04-16,Middle School,Ritto,Marvelous Sunday,157,B79 W56 H80,22cm,No changes,"アタシ、ネイチャさん (Atashi, Nature-san)","アンタ、トレーナーさん (Anta, Trainer-san)",[[Kaori Maeda]],Nice Nature (Icon).png,28A959,B82720,IRL:Nice Nature,🥉,,,
Nishino_Flower,1051,ニシノフラワー,,Nishino Furawaa,西野花,,,,Genius Little Girl,Nishino Flower (Main).png,Nishino Flower (Race).png,Nishino Flower (Proto).png,Nishino Flower (Stage).png,フラワー (Flower),1989-04-19,Middle School,Ritto,Mihono Bourbon,135,B67 W48 H70,18.5cm,No change,私 (Watashi),トレーナーさん (Trainer-san),[[Haruna Kawai]],Nishino Flower (Icon).png,E26ECB,F6EB61,IRL:Nishino Flower,🌼,,,
No_Reason,1096,ノーリーズン,,Noo Riizun,莫名其妙,,,,,No Reason (Main).png,No Reason (Race).png,,No Reason (Stage).png,,2021-06-04,,Ritto,Yaeno Muteki,160,B80 W56 H85,,Tends to be messy?,Washi (ワシ),Gunshi (軍師),[[Hiyori Kono]],No Reason (Icon).png,cb243e,9ad2f5,IRL:No Reason,,,,
North_Flight,1082,ノースフライト,,Noosu Furaito,北方飛翔,,,,,North Flight (Main).png,North Flight (Race).png,North Flight (Proto).png,North Flight (Stage).png,Fuu-chan,1990-04-12,High School,Ritto,Aston Machan,156,B82 W51 H80,24.5cm,Growing,,,[[Maria Sashide]],North Flight (Icon).png,ca3b61,32b5d6,IRL:North Flight,👗,,,
Oguri_Cap,1006,オグリキャップ,,oguri kyappu,小栗帽,,,,Idol Umamusume,Oguri Cap (Main).png,Oguri Cap (Race).png,Oguri Cap (Proto).png,Oguri Cap (Stage).png,オグリ (Oguri),1985-03-27,High School,Ritto,Tamamo Cross,167,B82 W57 H82,27cm,Slight increase (overate),私 (Watashi),"キミ、トレーナー (Kimi, Trainer)",[[Tomoyo Takayanagi]],Oguri Cap (Icon).png,3A7AD2,ECE7E7,IRL:Oguri Cap,🍚,Party Dash:Oguri Cap,,
Orfevre,1115,オルフェーヴル,,Orufeevuru,黃金巨匠,,,,,Orfevre (Main).png,Orfevre (Race).png,Orfevre (Proto).png,Orfevre (Stage).png,,2021-05-14,High School,Ritto,Dream Journey,165,B82 W55 H80,,,"余、私 (Yo, Watashi)",,[[Yoko Hikasa]],Orfevre (Icon).png,be4134,ecd898,IRL:Orfevre,👑,,,
Rhein_Kraft,1109,ラインクラフト,,Rain Kurafuto,萊茵力量,,,,Blossoming Pioneer,Rhein Kraft (Main).png,Rhein Kraft (Race).png,,Rhein Kraft (Stage).png,クラフト (Kraft),2021-04-04,Middle School,Ritto,Cesario,157,B85 W55 H83,"L23.5cm, R23cm",Comfy,わたし (Watashi),トレーナーさん (Trainer-san),[[Nanae Kojima]],Rhein Kraft (Icon).png,f15b75,2c9679,IRL:Rhein Kraft,☀,,,
Rice_Shower,1030,ライスシャワー,,Raisu Shawaa,米浴,,,,Black Assassin,Rice Shower (Main).png,Rice Shower (Race).png,Rice Shower (Proto).png,Rice Shower (Stage).png,ライス (Rice),1989-03-05,High School,Miho,Zenno Rob Roy,145,B75 W51 H76,21cm,No change,ライス (Rice),"お兄さま、お姉さま (Oniisama, Oneesama)",[[Manaka Iwami]],Rice Shower (Icon).png,384A86,CA3E6D,IRL:Rice Shower,🌹,,,
Royce_and_Royce,1103,ロイスアンドロイス,,Roisu ando Roisu,萊斯萊斯,,,,,Royce and Royce (Main).png,Royce and Royce (Race).png,,Royce and Royce (Stage).png,,2021-03-10,Middle School,Miho,,159,B83 W56 H82,,Strongest Style,,,[[Rui Tanabe]],Royce and Royce (Icon).png,e69a22,cc382e,IRL:Royce and Royce,📝,Party Dash:Royce and Royce,,
Sakura_Bakushin_O,1041,サクラバクシンオー,,Sakura Bakushin Oo,櫻花進王 / 櫻花驀進王,,,,Ruler of Dashing,Sakura Bakushin O (Main).png,Sakura Bakushin O (Race).png,Sakura Bakushin O (Proto).png,Sakura Bakushin O (Stage).png,バクシンオー (Bakushin O),1989-04-14,High School,Miho,,158,B83 W55 H83,24cm,No change,私 (Watashi),トレーナーさん (Trainer-san),[[Sachika Misawa]],Sakura Bakushin O (Icon).png,EE6FAB,F2D4D7,IRL:Sakura Bakushin O,,,,
Sakura_Chitose_O,,サクラチトセオー,,sakura chitose oo,櫻花千歲王,,,,,Sakura Chitose O (Main).png,,,,,2021-05-11,,,,164,B84 W56 H84,,Neat,,,[[Riko Akechi]],Sakura Chitose O (Icon).png,FA83CB,D8C8D1,IRL:Sakura Chitose O,,,,
Sakura_Chiyono_O,1069,サクラチヨノオー,,Sakura Chiyono Oo,櫻花千代王,,,,Blooming Cherry Blossom,Sakura Chiyono O (Main).png,Sakura Chiyono O (Race).png,Sakura Chiyono O (Proto).png,Sakura Chiyono O (Stage).png,チヨノオー (Chiyono O)<br>チヨ (Chiyo),1985-02-19,High School,Miho,Mejiro Ardan,156,B80 W55 H83,22cm,Slight decrease,私 (Watashi),トレーナーさん (Trainer-chan),[[Ruriko Noguchi]],Sakura Chiyono O (Icon).png,f9879d,f7dde2,IRL:Sakura Chiyono O,,,,
Sakura_Laurel,1076,サクラローレル,,Sakura Rooreru,櫻花桂冠,,,,Large Late-Blooming Cherry Blossom,Sakura Laurel (Main).png,Sakura Laurel (Race).png,,Sakura Laurel (Stage).png,ローレル (Laurel),1991-05-08,High School,Miho,Seiun Sky,162,B78 W54 H80,23cm,Perfect,私 (Watashi),トレーナーさん (Trainer-san),[[Mizuki Mano]],Sakura Laurel (Icon).png,f0638a,fecdc9,IRL:Sakura Laurel,🌸,Party Dash:Sakura Laurel,,
Samson_Big,,サムソンビッグ,,Samuson Biggu,大森遜,,,,,Samson Big (Main).png,Samson Big (Race).png,,Samson Big (Stage).png,,2021-04-14,,Ritto,,143,B72 W51 H72,,,,,[[Miyari Nemoto]],Samson Big (Icon).png,3dc3c2,f0688e,IRL:Samson Big,,Party Dash:Samson Big,,
Satono_Crown,1088,サトノクラウン,,Satono Kuraun,里見皇冠,,,,Magic Crown,Satono Crown (Main).png,Satono Crown (Race).png,Satono Crown (Proto).png,Satono Crown (Stage).png,クラ (Kura)<br>クラウン (Crown),2012-03-10,Middle School,Miho,Duramente,163,B82 W53 H81,24cm,Confidential,私 (Watashi),トレーナー (Trainer),[[Sayumi Suzushiro]],Satono Crown (Icon).png,21713A,F3F19D,IRL:Satono Crown,,Party Dash:Satono Crown,,
Satono_Diamond,1067,サトノダイヤモンド,,Satono Daiyamondo,里見光鑽,,,,A Dream-Chasing Gem,Satono Diamond (Main).png,Satono Diamond (Race).png,Satono Diamond (Proto).png,Satono Diamond (Stage).png,ダイヤ (Dia)<br>サトノ (Satono),2013-01-30,Middle School,Ritto,Kitasan Black,158,B87 W54 H84,21cm,There's no change?,"私、ダイヤ (Watashi, Dia)",トレーナーさん (Trainer-san),[[Hina Tachibana]],Satono Diamond (Icon).png,94bf01,f9eb39,IRL:Satono Diamond,💎,Party Dash:Satono Diamond,,
Seeking_the_Pearl,1042,シーキングザパール,,Shiikingu za Paaru,採珠,,,,A Sparkling Pearl,Seeking the Pearl (Main).png,Seeking the Pearl (Race).png,Seeking the Pearl (Proto).png,Seeking the Pearl (Stage).png,パール (Pearl),1994-04-16,High School,Ritto,Kawakami Princess,168,B91 W57 H87,24.5cm,Worldwide perfection,"私、このパール姉さん (Watashi, Kono Pearl-Neesan)",トレーナー (Trainer),[[Ayaka Fukuhara]],Seeking the Pearl (Icon).png,B02D40,1690D4,IRL:Seeking the Pearl,,,,
Seiun_Sky,1020,セイウンスカイ,,Seiun Sukai,青雲天空,,,,Trickster,Seiun Sky (Main).png,Seiun Sky (Race).png,Seiun Sky (Proto).png,Seiun Sky (Stage).png,スカイ (Sky)<br>セイ (Sei),1996-04-26,Middle School,Miho,Sakura Laurel,155,B77 W55 H80,22.5cm,Undeclared,"私、セイちゃん (Watashi, Sei-chan)","あなた、トレーナーさん (Anata, Trainer-san)",[[Akari Kito]],Seiun Sky (Icon).png,65D283,F4DA40,IRL:Seiun Sky,,Party Dash:Seiun Sky,,
Shinko_Windy,1043,シンコウウインディ,,Shinkou Uindi,新光風,,,,Biting Mischievous Girl,Shinko Windy (Main).png,Shinko Windy (Race).png,Shinko Windy (Proto).png,Shinko Windy (Stage).png,ウインディ (Windy),1993-04-14,High School,Miho,,152,B77 W57 H88,22.5cm,No change,ウインディちゃん (Windy-chan),トレーナー (Trainer),[[Yuuki Takada]],Shinko Windy (Icon).png,63666A,6F2678,IRL:Shinko Windy,🐺,,,
Silence_Suzuka,1002,サイレンススズカ,,Sairensu Suzuka,無聲鈴鹿,,無聲鈴鹿,,Runaway from Another Dimension,Silence Suzuka (Main).png,Silence Suzuka (Race).png,Silence Suzuka (Proto).png,Silence Suzuka (Stage).png,スズカ (Suzuka),1994-05-01,High School,Ritto,Special Week,161,B70 W53 H79,"L23.5cm, R23cm",No change,私 (Watashi),トレーナーさん (Trainer-san),[[Marika Kono]],Silence Suzuka (Icon).png,29BD70,FFCE48,IRL:Silence Suzuka,,Party Dash:Silence Suzuka,,
Sirius_Symboli,1070,シリウスシンボリ,,Shirusu Shinbori,天狼星象徵,,,,Brilliant Alpha Canus Majoris,Sirius Symboli (Main).png,Sirius Symboli (Race).png,Sirius Symboli (Proto).png,Sirius Symboli (Stage).png,シリウス (Sirius),1982-03-26,High School,Miho,Nakayama Festa,167,B89 W55 H86,25cm,Not interested,私 (Watashi),"アンタ、トレーナー (Anta, Trainer)",[[Fairouz Ai]],Sirius Symboli (Icon).png,248379,e3628c,IRL:Sirius Symboli,,,,
Smart_Falcon,1046,スマートファルコン,,Sumaato Farukon,醒目飛鷹,,,,Falcon of the Sand,Smart Falcon (Main).png,Smart Falcon (Race).png,Smart Falcon (Proto).png,Smart Falcon (Stage).png,ファル子 (Falko)<br>ファルコン (Falcon),2005-04-04,High School,Ritto,Eishin Flash,156,B78 W55 H80,23cm,Slight decrease (on a tight budget),"ファル子、私 (Falko, Watashi)",トレーナーさん (Trainer-san),[[Hitomi Owada]],Smart Falcon (Icon).png,F8587B,403A35,IRL:Smart Falcon,,,,
Sounds_of_Earth,1102,サウンズオブアース,,Saunzu obu Aasu,萬籟爭鳴,,,,,Sounds of Earth (Main).png,Sounds of Earth (Race).png,,Sounds of Earth (Stage).png,Earth (アース),2011-04-12,Middle School,Ritto,,161,B80 W52 H81,24.5cm,Benissimo!,私 (Watashi),"トレーナー (Trainer), ディレットレ (Direttore)",[[MAKIKO]],Sounds of Earth (Icon).png,ca4640,305991,IRL:Sounds of Earth,🎼,Party Dash:Sounds of Earth,,
Special_Week,1001,スペシャルウィーク,,supesharu uiiku,特別週,,特別週,스페셜 위크,Supreme Commander of Japan,Special Week (Main).png,Special Week (Race).png,Special Week (Proto).png,Special Week (Stage).png,スペ (Spe),1995-05-02,Middle School,Ritto,Silence Suzuka,158,B81 W56 H81,"L23.5cm, R23cm",Slight decrease (pre-race nerves),私 (Watashi),トレーナーさん (Trainer-san),[[Azumi Waki]],Special Week (Icon).png,EE6DCB,FFDEF9,IRL:Special Week,,Party Dash:Special Week,,
Stay_Gold,1135,ステイゴールド,,sutei goorudo,黃金旅程,,,,,Stay Gold (Main).png,Stay Gold (Race).png,,,"ステゴ (Stego), アネゴ (Anego)",1994-03-24,High School,Ritto,,142,B67 W49 H68,,Doesn't gain weight even if she eats,私 (Watashi),,[[wikipedia:Satsumi Matsuda|Satsumi Matsuda]] ([[wikipedia:ja:松田颯水|松田颯水]]),Stay Gold (Icon).png,bfb33e,49699c,IRL:Stay Gold,,,,
Still_in_Love,1097,スティルインラブ,,Sutiru in Rabu,愛如往昔,,,,,Still in Love (Main).png,Still in Love (Race).png,Still in Love (Proto).png,Still in Love (Stage).png,,2000-05-02,Middle School,Ritto,Neo Universe,153,B72 W50 H76,,Charming,私/ワタシ (watashi),トレーナーさん (Trainer-san),[[Saki Miyashita]],Still in Love (Icon).png,d83a43,6fbbf1,IRL:Still in Love,,Party Dash:Still in Love,,
Super_Creek,1045,スーパークリーク,,Suupaa Kuriiku,超級小海灣 / 超級小溪,超級溪流,,,High-speed Stayer,Super Creek (Main).png,Super Creek (Race).png,Super Creek (Proto).png,Super Creek (Stage).png,クリーク (Creek),1985-05-27,High School,Ritto,Narita Taishin,168,B97 W61 H91,25.5cm,Slight increase (the reason is a secret),"私、ママ (Watashi, Mama)",トレーナーさん (Trainer-san),[[Kana Yuuki]],Super Creek (Icon).png,5693DA,C8C9C7,IRL:Super Creek,🍬,,,
Sweep_Tosho,1044,スイープトウショウ,,Suiipu Toushou,東商變革,,,,Selfish Magical Girl,Sweep Tosho (Main).png,Sweep Tosho (Race).png,Sweep Tosho (Proto).png,Sweep Tosho (Stage).png,スイープ (Sweep)<br>スイーピー (Sweepy),2001-05-09,Middle School,Ritto,,139,B72 W53 H73,19cm,Completely rejects measurement,"アタシ、このスイーピー (Atashi, Kono Sweepy)",使い魔 (Familiar),[[Shiori Sugiura]],Sweep Tosho (Icon).png,926DDA,BC204B,IRL:Sweep Tosho,🧙‍♀️,Party Dash:Sweep Tosho,,
Symboli_Kris_S,1083,シンボリクリスエス,,Shinbori Kurisu Esu,克莉斯耶絲象徵,,吉兆,,Jet Black Monarch,Symboli Kris S (Main).png,Symboli Kris S (Race).png,Symboli Kris S (Proto).png,Symboli Kris S (Stage).png,クリスエス (Kris S)<br>クリス (Kris),1999-01-21,High School,Miho,Mejiro Ramonu,170,B91 W58 H88,27.5cm,Incredible,私 (Watashi),トレーナー (Trainer),[[Meiku Harukawa]],Symboli Kris S (Icon).png,12762f,292d45,IRL:Symboli Kris S,🎄,,,
Symboli_Rudolf,1017,シンボリルドルフ,,Shinbori Rudorufu,魯道夫象徵 / 魯鐸象徵,,樂多富,,Emperor,Symboli Rudolf (Main).png,Symboli Rudolf (Race).png,Symboli Rudolf (Proto).png,Symboli Rudolf (Stage).png,会長 (President)<br>ルドルフ (Rudolf),1981-03-13,High School,Miho,,165,B86 W59 H85,25cm,Nearly ideal,私 (Watashi),トレーナー君 (Trainer-kimi),[[Azusa Tadokoro]],Symboli Rudolf (Icon).png,1C7763,C6314B,IRL:Symboli Rudolf,7⃣,Party Dash:Symboli Rudolf,,
